title,abstract,url,github,arxiv,upvotes,published,github_stars
"AgentScope 1.0: A Developer-Centric Framework for Building Agentic
  Applications","AgentScope enhances agentic applications by providing flexible tool-based interactions, unified interfaces, and advanced infrastructure based on the ReAct paradigm, supporting efficient and safe development and deployment.",https://huggingface.co/papers/2508.16279,https://github.com/agentscope-ai/agentscope,https://arxiv.org/abs/2508.16279,40,2025-08-22,11400.0
LlamaFactory: Unified Efficient Fine-Tuning of 100+ Language Models,LlamaFactory is a unified framework enabling efficient fine-tuning of large language models across various tasks using a web-based user interface.,https://huggingface.co/papers/2403.13372,https://github.com/hiyouga/LLaMA-Factory,https://arxiv.org/abs/2403.13372,139,2024-03-20,58200.0
"HuMo: Human-Centric Video Generation via Collaborative Multi-Modal
  Conditioning",HuMo is a unified framework for human-centric video generation that addresses challenges in multimodal control through a two-stage training paradigm and novel strategies for subject preservation and audio-visual synchronization.,https://huggingface.co/papers/2509.08519,https://github.com/Phantom-video/HuMo,https://arxiv.org/abs/2509.08519,105,2025-09-10,287.0
SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,"SimpleVLA-RL, an RL framework for VLA models, enhances long-horizon action planning, achieves state-of-the-art performance, and discovers novel patterns during training.",https://huggingface.co/papers/2509.09674,https://github.com/PRIME-RL/SimpleVLA-RL,https://arxiv.org/abs/2509.09674,68,2025-09-11,560.0
"AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making
  through Multi-Turn Reinforcement Learning","AgentGym-RL is a modular RL framework for training LLM agents in diverse environments without supervised fine-tuning, featuring ScalingInter-RL for balanced exploration-exploitation.",https://huggingface.co/papers/2509.08755,https://github.com/WooooDyy/AgentGym-RL,https://arxiv.org/abs/2509.08755,40,2025-09-10,234.0
"ComfyUI-Copilot: An Intelligent Assistant for Automated Workflow
  Development",ComfyUI-Copilot uses a large language model and multi-agent system to enhance the usability and efficiency of the AI-driven art creation platform ComfyUI.,https://huggingface.co/papers/2506.05010,https://github.com/AIDC-AI/ComfyUI-Copilot,https://arxiv.org/abs/2506.05010,79,2025-06-05,2910.0
A Survey of Reinforcement Learning for Large Reasoning Models,"Reinforcement Learning enhances Large Language Models for complex reasoning tasks, facing challenges in scalability and infrastructure as the field advances.",https://huggingface.co/papers/2509.08827,https://github.com/TsinghuaC3I/Awesome-RL-for-LRMs,https://arxiv.org/abs/2509.08827,136,2025-09-10,1060.0
ST-Raptor: LLM-Powered Semi-Structured Table Question Answering,"ST-Raptor, a tree-based framework using large language models, addresses challenges in answering questions from semi-structured tables by introducing a Hierarchical Orthogonal Tree and a two-stage verification mechanism.",https://huggingface.co/papers/2508.18190,https://github.com/weAIDB/ST-Raptor,https://arxiv.org/abs/2508.18190,6,2025-08-25,100.0
"InternVL3: Exploring Advanced Training and Test-Time Recipes for
  Open-Source Multimodal Models","InternVL3 is a multimodal pre-trained language model that jointly learns from both multimodal data and text, improving performance and scalability through advanced techniques and setting a new state-of-the-art in multimodal tasks.",https://huggingface.co/papers/2504.10479,,https://arxiv.org/abs/2504.10479,289,2025-04-14,
3D and 4D World Modeling: A Survey,"This survey provides a comprehensive review of 3D and 4D world modeling and generation, establishing definitions, taxonomy, datasets, and evaluation metrics, and discussing applications and challenges.",https://huggingface.co/papers/2509.07996,https://github.com/worldbench/survey,https://arxiv.org/abs/2509.07996,50,2025-09-04,313.0
